Column9,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
511,81002,CUSCO,PARURO,ACCHA,3125,32,59,8
512,80911,CUSCO,LA CONVENCIÓN,INKAWASI,5031,"30,1","60,8",8
513,120703,JUNÍN,TARMA,HUARICOLCA,1813,"30,4","60,4",8
514,120709,JUNÍN,TARMA,TAPO,4470,"30,4","60,4",8
515,211203,PUNO,SANDIA,LIMBANI,3269,"34,1","56,7",8
516,211206,PUNO,SANDIA,QUIACA,2308,"34,1","56,7",8
517,211207,PUNO,SANDIA,SAN JUAN DEL ORO,3235,"34,1","56,7",8
518,10512,AMAZONAS,LUYA,OCALLI,3950,"36,9","53,9",8
519,90710,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,1479,"29,8",61,8
52,60311,CAJAMARCA,CELENDÍN,UTCO,1081,"57,7","75,9",4
520,50909,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE,936,"26,2","64,5",8
521,131203,LA LIBERTAD,VIRÚ,GUADALUPITO,7663,"36,7","53,9",8
522,50103,AYACUCHO,HUAMANGA,ACOS VINCHOS,4964,"32,6","57,9",8
523,210702,PUNO,LAMPA,CABANILLA,5955,"30,6","59,9",8
524,80205,CUSCO,ACOMAYO,POMACANCHI,7598,"32,3","58,1",8
525,211102,PUNO,SAN ROMÁN,CABANA,5495,29,"61,4",8
526,30504,APURÍMAC,COTABAMBAS,HAQUIRA,9712,"33,1","57,3",8
527,80702,CUSCO,CHUMBIVILCAS,CAPACMARCA,4119,"30,3","60,1",8
528,211301,PUNO,YUNGUYO,YUNGUYO,24795,"33,3",57,8
529,210111,PUNO,PUNO,PICHACANI,6026,"28,5","61,7",8
53,60403,CAJAMARCA,CHOTA,CHADIN,3632,"57,9","75,4",4
530,131003,LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,5789,"35,7","54,5",8
531,61107,CAJAMARCA,SAN MIGUEL,LLAPA,4563,"35,4","54,6",8
532,210212,PUNO,AZÁNGARO,SAN JOSÉ,4923,"31,4","58,6",8
533,21509,ÁNCASH,PALLASCA,PAMPAS,3697,"34,7","55,4",8
534,210808,PUNO,MELGAR,SANTA ROSA,6353,31,59,8
535,80806,CUSCO,ESPINAR,PICHIGUA,2824,"30,6","59,3",8
536,51004,AYACUCHO,VICTOR FAJARDO,ASQUIPATA,482,"23,8","66,1",8
537,90713,HUANCAVELICA,TAYACAJA,QUISHUAR,752,30,"59,8",8
538,30203,APURÍMAC,ANDAHUAYLAS,CHIARA,1209,"31,8","58,1",8
539,130602,LA LIBERTAD,OTUZCO,AGALLPAMPA,10403,"32,8",57,8
54,60907,CAJAMARCA,SAN IGNACIO,TABACONAS,19954,"58,1","74,8",4
540,30103,APURÍMAC,ABANCAY,CIRCA,1836,"31,4","58,3",8
541,101102,HUÁNUCO,YAROWILCA,CAHUAC,928,"29,7","60,1",8
542,101105,HUÁNUCO,YAROWILCA,JACAS CHICO,1006,"30,8",59,8
543,90709,HUANCAVELICA,TAYACAJA,HUARIBAMBA,3052,"32,5","57,2",8
544,30609,APURÍMAC,CHINCHEROS,ROCCHACC,2787,"31,8","57,7",8
545,61108,CAJAMARCA,SAN MIGUEL,NANCHOC,1370,"35,2","54,3",8
546,21206,ÁNCASH,HUAYLAS,PAMPAROMÁS,8577,30,"59,4",8
547,190208,PASCO,DANIEL ALCIDES CARR,VILCABAMBA,2097,"33,9","55,4",8
548,200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,6710,"30,6","58,7",8
549,30105,APURÍMAC,ABANCAY,HUANIPACA,2778,"30,8","58,6",8
55,60309,CAJAMARCA,CELENDÍN,SOROCHUCO,7514,"57,1","75,3",4
550,220510,SAN MARTÍN,LAMAS,TABALOSOS,14593,"33,6","55,7",8
551,20303,ÁNCASH,ANTONIO RAYMONDI,CHACCHO,1346,"31,9","57,4",8
552,100307,HUÁNUCO,DOS DE MAYO,CHUQUIS,3123,"32,6","56,6",8
553,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,4596,"30,3","58,9",8
554,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,13577,36,"53,1",8
555,90208,HUANCAVELICA,ACOBAMBA,ROSARIO,4952,"32,5","56,6",8
556,100109,HUÁNUCO,HUÁNUCO,SANTA MARÍA DEL VALLE,21872,"33,1",56,8
557,100502,HUÁNUCO,HUAMALIES,ARANCAY,1316,"30,8","58,3",8
558,210308,PUNO,CARABAYA,OLLACHEA,6544,30,"59,1",8
559,80701,CUSCO,CHUMBIVILCAS,SANTO TOMÁS,22809,"31,2","57,7",8
56,61103,CAJAMARCA,SAN MIGUEL,CALQUIS,4281,"57,3","75,2",4
560,130501,LA LIBERTAD,JULCÁN,JULCÁN,12762,"34,8","54,1",8
561,90304,HUANCAVELICA,ANGARAES,CCOCHACCASA,3198,"32,3","56,6",8
562,90312,HUANCAVELICA,ANGARAES,SECCLLA,3312,"30,7","58,1",8
563,210306,PUNO,CARABAYA,CRUCERO,10095,"30,2","58,5",8
564,210603,PUNO,HUANCANÉ,HUATASANI,3140,"29,3","59,3",8
565,210202,PUNO,AZÁNGARO,ACHAYA,2782,"33,4","55,2",8
566,210206,PUNO,AZÁNGARO,CHUPA,5756,"33,4","55,2",8
567,210208,PUNO,AZÁNGARO,MUÑANI,6867,"33,4","55,2",8
568,20902,ÁNCASH,CORONGO,ACO,380,28,"60,6",8
569,21802,ÁNCASH,SANTA,CÁCERES DEL PERÚ,4816,"35,1","53,5",8
57,90307,HUANCAVELICA,ANGARAES,HUANCA-HUANCA,1405,"52,3","79,8",4
570,30408,APURÍMAC,AYMARAES,JUSTO APU SAHUARAURA,723,30,"58,5",8
571,211303,PUNO,YUNGUYO,COPANI,4930,"30,2","58,1",8
